[I 250625 09:23:39 websocket_stream:11] WebSocket Connected!
[I 250625 09:24:03 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1226285, 'exchange_timestamp': 1750823643000, 'last_traded_price': 5647390, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:03 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 1226524, 'exchange_timestamp': 1750823643000, 'last_traded_price': 146620, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:03 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 1226683, 'exchange_timestamp': 1750823643000, 'last_traded_price': 146620, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:03 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1226747, 'exchange_timestamp': 1750823643000, 'last_traded_price': 5647570, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:04 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1226965, 'exchange_timestamp': 1750823644000, 'last_traded_price': 5647475, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:04 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 1227203, 'exchange_timestamp': 1750823644000, 'last_traded_price': 146600, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:04 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 1227305, 'exchange_timestamp': 1750823644000, 'last_traded_price': 146610, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:04 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1227369, 'exchange_timestamp': 1750823644000, 'last_traded_price': 5647260, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:05 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1227591, 'exchange_timestamp': 1750823645000, 'last_traded_price': 5647080, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:05 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 1227829, 'exchange_timestamp': 1750823645000, 'last_traded_price': 146640, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:05 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 1227992, 'exchange_timestamp': 1750823645000, 'last_traded_price': 146640, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:05 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1228056, 'exchange_timestamp': 1750823645000, 'last_traded_price': 5647050, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:06 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1228278, 'exchange_timestamp': 1750823646000, 'last_traded_price': 5646775, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:06 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 1228527, 'exchange_timestamp': 1750823646000, 'last_traded_price': 146640, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:06 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 1228687, 'exchange_timestamp': 1750823646000, 'last_traded_price': 146640, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:06 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1228751, 'exchange_timestamp': 1750823646000, 'last_traded_price': 5646310, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:07 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1228969, 'exchange_timestamp': 1750823647000, 'last_traded_price': 5646245, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:07 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 1229216, 'exchange_timestamp': 1750823647000, 'last_traded_price': 146640, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:07 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 1229374, 'exchange_timestamp': 1750823647000, 'last_traded_price': 146640, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:07 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1229442, 'exchange_timestamp': 1750823647000, 'last_traded_price': 5646475, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:08 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1229661, 'exchange_timestamp': 1750823648000, 'last_traded_price': 5646320, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:08 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 1229895, 'exchange_timestamp': 1750823648000, 'last_traded_price': 146640, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:08 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 1230057, 'exchange_timestamp': 1750823648000, 'last_traded_price': 146640, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:08 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1230124, 'exchange_timestamp': 1750823648000, 'last_traded_price': 5646220, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:09 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1230352, 'exchange_timestamp': 1750823649000, 'last_traded_price': 5646250, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:09 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 1230757, 'exchange_timestamp': 1750823649000, 'last_traded_price': 146640, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:09 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1230852, 'exchange_timestamp': 1750823649000, 'last_traded_price': 5646475, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:10 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1231075, 'exchange_timestamp': 1750823650000, 'last_traded_price': 5646500, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:10 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 1231312, 'exchange_timestamp': 1750823650000, 'last_traded_price': 146650, 'subscription_mode_val': 'LTP'}
